"","Strain","max","min","mean","median","count"
"1","IL-208-2-2",0.96137339055794,0.96137339055794,0.96137339055794,0.96137339055794,1
"2","TAU NZ-3-1",0.955268389662028,0.890648193963385,0.924636156678383,0.927991886409737,3
"3","AV1",0.955004812319538,0.253794266441821,0.752804228866126,0.843137254901961,21
"4","BY1",0.952654625068418,0.909136799596163,0.926422384273307,0.91747572815534,3
"5","CCNP1402",0.952654625068418,0.909136799596163,0.926422384273307,0.91747572815534,3
"6","CCNP1427",0.952654625068418,0.909136799596163,0.930895712332291,0.930895712332291,2
"7","CCNP1436",0.952654625068418,0.909136799596163,0.930895712332291,0.930895712332291,2
"8","CCY9414",0.952654625068418,0.263723150357995,0.719771872398443,0.831354857083679,4
"9","KAC7",0.952654625068418,0.909136799596163,0.930895712332291,0.930895712332291,2
"10","KAC71",0.952654625068418,0.909136799596163,0.930895712332291,0.930895712332291,2
"11","n.a.",0.952133479212254,0.0595555555555555,0.43530310217488,0.389870490286772,1115
"12","UIC 10045",0.943488943488944,0.208305142083897,0.57589704278642,0.57589704278642,2
"13","PCC7310",0.928934010152284,0.928934010152284,0.928934010152284,0.928934010152284,1
"14","CENA352",0.921226415094339,0.919299951385513,0.920263183239926,0.920263183239926,2
"15","KAC 11",0.919113413932067,0.794943820224719,0.839731243899933,0.822433870721473,4
"16","KAC70",0.916963830871115,0.886,0.90270914335104,0.905163599182004,3
"17","KAC87",0.916963830871115,0.886,0.90270914335104,0.905163599182004,3
"18","CCNP1411",0.911244292237443,0.180420982292014,0.717429524662902,0.808015235910878,6
"19","EAWAG 127a",0.910810810810811,0.910810810810811,0.910810810810811,0.910810810810811,1
"20","NIES-81",0.910569105691057,0.825277777777778,0.867923441734417,0.867923441734417,2
"21","SAG 36.9",0.906234778373113,0.883847980997625,0.895041379685368,0.895041379685368,2
"22","CBT599",0.899945622620989,0.899945622620989,0.899945622620989,0.899945622620989,1
"23","[Brasilonema]CENA360",0.895903479236813,0.895903479236813,0.895903479236813,0.895903479236813,1
"24","[Desmonostoc]CENA382",0.895903479236813,0.895903479236813,0.895903479236813,0.895903479236813,1
"25","ITEP-24",0.895522388059702,0.894043528064147,0.894782958061924,0.894782958061924,2
"26","NIES-I02",0.889666960741067,0.889666960741067,0.889666960741067,0.889666960741067,1
"27","202
A2",0.87933561309233,0.87933561309233,0.87933561309233,0.87933561309233,1
"28","41",0.87933561309233,0.87933561309233,0.87933561309233,0.87933561309233,1
"29","CBT344",0.878423040604344,0.12869094488189,0.379389372180121,0.131054131054131,3
"30","CBT163",0.876124933827422,0.822273781902552,0.849199357864987,0.849199357864987,2
"31","NRC 525-17",0.874760994263863,0.0455991516436905,0.293476038859253,0.126772004764729,4
"32","KAC 66",0.86783651710351,0.137050653594771,0.617860818964522,0.848695286195286,3
"33","CCNP 1411 (GenBank accession number KJ161445)",0.862948960302457,0.138244737780949,0.360552149797292,0.173715352681697,14
"34","CCY941",0.860800744878957,0.815975286849074,0.844917561808176,0.857976653696498,3
