"Index","ID","Query","SmilesRan","Error","Exp_-Log10(mol/L)","Pred_Hierarchical clustering_-Log10(mol/L)","Pred_Single model_-Log10(mol/L)","Pred_Group contribution_-Log10(mol/L)","Pred_Nearest neighbor_-Log10(mol/L)","Pred_Consensus_-Log10(mol/L)"
"159","C_AFDPMSAJJZIIQX-DMGAWOCMSA-N","C[C@@H](O)[C@H]1C(N2CCC[C@H]2C(N[C@@H](CC3=CNC4=CC=CC=C43)C(N[C@@H](CC(C)C)C(N[C@@H](CC(N)=O)C(NCC(N[C@@H](CC(O)=O)C(N[C@@H](CC(N)=O)C(N[C@@H](CC(N)=O)C(N[C@@H](CC5=CNC6=CC=CC=C65)C(N[C@@H](CO)C(N1)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O)=O","O=C(O)CC1NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C2N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC1=O)CC(=O)N)CC(=O)N)CC3=CNC=4C=CC=CC43)CO)C(O)C)CCC2)CC5=CNC=6C=CC=CC65)CC(C)C)CC(=O)N","","N/A","N/A","N/A","N/A","4.31","N/A"
"160","C_FZNIATZASYIKQE-KRJWMNQKSA-N","C[C@@H](NC([C@@H](N(C([C@@H](NC)CCCNC(NC/C=C(CC/C=C(C)\C)/C)=N)=O)C)CCCNC(NC/C=C(C)/C)=N)=O)[C@H](OS(=O)(O)=O)C1=CC(COS(=O)(O)=O)=C(OS(=O)(O)=O)C=C1","O=C(NC(C)C(OS(=O)(=O)O)C1=CC=C(OS(=O)(=O)O)C(=C1)COS(=O)(=O)O)C(N(C(=O)C(NC)CCCNC(=N)NCC=C(C)CCC=C(C)C)C)CCCNC(=N)NCC=C(C)C","","N/A","N/A","N/A","N/A","N/A","N/A"
"161","C_PFBNCGWLTHYUQJ-VPQOBCRSSA-N","C[C@@H](\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)C[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CO)NC(=O)C(=C)NC(=O)CC[C@@H](NC(=O)[C@H]1C)C(=O)O)C(=O)O)[C@H](Cc1ccccc1)OC","O=C(O)C1NC(=O)C(NC(=O)C(NC(=O)C(=C)NC(=O)CCC(NC(=O)C(C)C(C=CC(=CC(C)C(OC)CC=2C=CC=CC2)C)NC(=O)C(NC(=O)C1)CCCNC(=N)N)C(=O)O)CO)CC(C)C","","N/A","2.88","3.69","N/A","4.11","3.56"
"162","C_KCMMTAKLPUUDDC-PWVVLFCASA-N","C/C(CCC(O)C(C)=C)=C/CNC(NCCC[C@H](NC)C(N([C@H](C(N[C@H](C)[C@H](OS(=O)(O)=O)C1=CC=C(OS(=O)(O)=O)C(COS(=O)(O)=O)=C1)=O)CCCNC(NC/C=C(C)/C)=N)C)=O)=N","O=C(NC(C)C(OS(=O)(=O)O)C1=CC=C(OS(=O)(=O)O)C(=C1)COS(=O)(=O)O)C(N(C(=O)C(NC)CCCNC(=N)NCC=C(C)CCC(O)C(=C)C)C)CCCNC(=N)NCC=C(C)C","","N/A","N/A","N/A","N/A","N/A","N/A"
"163","C_MONOMZXDURAAAV-BKCMZVEJSA-N","CCCCC(CCCC[C@H](C)[C@H](C1=CC(=CC(=C1)O)O)OC(=O)C)Cl","O=C(OC(C=1C=C(O)C=C(O)C1)C(C)CCCCC(Cl)CCCC)C","","N/A","5.11","6.04","6.42","4.74","5.57"
"164","C_GTRRNAAYKNENPF-ZQUJOIDOSA-N","CCCC[C@@H](CCCC[C@H](C)[C@H](C1=CC(=CC(=C1)O)O)OC(=O)C)C2=C(C=C(C=C2O)[C@@H]([C@@H](C)CCCCC(CCCC)Cl)OC(=O)C)O","O=C(OC(C=1C=C(O)C=C(O)C1)C(C)CCCCC(C2=C(O)C=C(C=C2O)C(OC(=O)C)C(C)CCCCC(Cl)CCCC)CCCC)C","","N/A","7.88","9.11","N/A","4.20","7.06"
"165","C_OALOPYYRKWCJGW-KIWBYYFGSA-N","CCCC[C@@H](CCCC[C@H](C)[C@H](C1=CC(=CC(=C1)O)O)OC(=O)C)C2=C(C=C(C=C2O)[C@@H]([C@@H](C)CCCCC(CCCC)Cl)O)O","O=C(OC(C=1C=C(O)C=C(O)C1)C(C)CCCCC(C2=C(O)C=C(C=C2O)C(O)C(C)CCCCC(Cl)CCCC)CCCC)C","","N/A","7.47","8.54","N/A","4.20","6.74"
"166","C_XZQILKYKJYHEHD-JTQLQIEISA-N","COC1=C(NCC(O)=O)C[C@](CO)(O)CC1=O","O=C(O)CNC1=C(OC)C(=O)CC(O)(CO)C1","","N/A","3.74","2.88","2.74","N/A","3.12"
"167","C_OCPGDSBMGHZPQN-ZFHRVURNSA-O","OC(CC(O)C1N=C(C2=CC=CC=C2O)OC1)CC(N[C@@H]([C@H](O)C)C(N[C@H](CO)C(N[C@@H](CO)C(NC3CC(C=C(O)C(O)=C4)=C4[N+](C)(C)C3)=O)=O)=O)=O","O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC1CC2=CC(O)=C(O)C=C2[N+](C)(C)C1)CO)CO)C(O)C)CC(O)CC(O)C3N=C(OC3)C=4C=CC=CC4O","","N/A","N/A","N/A","N/A","4.11","N/A"
"168","C_BXTHEZGZPKLTGV-YCBLZRCGSA-O","OC(CC(N[C@@H]([C@H](O)C)C(N[C@H](CO)C(N[C@@H](CO)C(NC1CC(C=C(O)C(O)=C2)=C2[N+](C)(C)C1)=O)=O)=O)=O)CC3OC(C4=CC=CC=C4O)=NC3CO","O=C(NC(C(=O)NC(C(=O)NC(C(=O)NC1CC2=CC(O)=C(O)C=C2[N+](C)(C)C1)CO)CO)C(O)C)CC(O)CC3OC(=NC3CO)C=4C=CC=CC4O","","N/A","N/A","N/A","N/A","3.78","N/A"
"169","35418-52-1","O=C(CC(CC(NCCCN(C(C)=O)O)=O)(C(O)=O)O)NCCCN(C(C)=O)O","O=C(O)C(O)(CC(=O)NCCCN(O)C(=O)C)CC(=O)NCCCN(O)C(=O)C","","N/A","N/A","N/A","N/A","3.90","N/A"
"170","C_ZKDJPRDXYUPPEK-KUGPAYIISA-N","CC(N[C@H]1CC/C(C=C1)=C/[C@H](NC([C@@H](NC(C)=O)/C=C2CC[C@@H](N)C=C\2)=O)C(O)=O)=O","O=C(O)C(C=C1C=CC(NC(=O)C)CC1)NC(=O)C(C=C2C=CC(N)CC2)NC(=O)C","","N/A","2.54","3.76","N/A","4.16","3.49"
"171","C_JWQCETJJOVMVED-QFDQEAMISA-N","C[C@H]1[C@H]([C@H]([C@@H](C(O1)O[C@@H](CC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C2=C(C[C@H](CC2(C)C)O)C)/C)/C)/C)C(C)(C)O)O)O)O","OC1CC(=C(C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC=C(C)CCC(OC2OC(C)C(O)C(O)C2O)C(O)(C)C)C)C)C)C)C(C)(C)C1)C","","N/A","4.92","9.42","N/A","4.03","6.12"
"172","C_FYKICBMSBYHBDI-CZUCUDRGSA-N","C[C@H]1[C@H]([C@H]([C@@H](C(O1)O[C@@H](CC/C(=C/C=C/C(=C/C=C/C(=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C2=C(C(=O)[C@H](CC2(C)C)O)C)/C)/C)/C)C(C)(C)O)O)O)O","O=C1C(=C(C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC=C(C)CCC(OC2OC(C)C(O)C(O)C2O)C(O)(C)C)C)C)C)C)C(C)(C)CC1O)C","","N/A","6.79","9.19","N/A","4.03","6.67"
