"Index","ID","Query","SmilesRan","Error","Exp_-Log10(mol/L)","Pred_Hierarchical clustering_-Log10(mol/L)","Pred_Single model_-Log10(mol/L)","Pred_Group contribution_-Log10(mol/L)","Pred_Nearest neighbor_-Log10(mol/L)","Pred_Consensus_-Log10(mol/L)"
"11","C_LWFZKXMCJDHBNJ-SLKDEOFASA-N","CCCCCCCC(CCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O)(Cl)Cl","ClC(CCCCCC1=C(O)C=C(C=C1OC2OCC(O)C(O)C2O)CCCCCC(Cl)(Cl)CCCCCCC)CCCCCC","","N/A","6.85","6.65","5.90","4.67","6.02"
"12","C_LJLORIMRLLORHA-LNSHLUEESA-N","CCCCCCC(CCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O)Cl","ClC(CCCCCC1=CC(O)=C(C(OC2OCC(O)C(O)C2O)=C1)CCCCCC(Cl)CCCCCC)CCCCCC","","N/A","6.56","6.46","5.40","4.93","5.84"
"13","C_NYUHMGANIQYFOK-ANHKVXBOSA-N","CCCCCCC(CCCCCC1=C(C=C(C=C1O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCCC(CCCC)Cl)O)Cl","ClC(CCCC)CCCCCCC1=CC(O)=C(C(OC2OCC(O)C(O)C2O)=C1)CCCCCC(Cl)CCCCCC","","N/A","6.45","6.35","5.31","4.93","5.76"
"14","C_AGAUYSZNDYQXOM-WEVIMLSJSA-N","C[C@]12C(C(CCC2)(C)C)CC[C@@]3(C1CCC4[C@@]3(C)CCC5[C@]4(C)CC[C@@H]5[C@@H](CCC(C(C(O)CO[C@H]6[C@@](O)([C@H]([C@@H]([C@H]6N)O)O)CO)O)O)C)C","OCC1(O)C(O)C(O)C(N)C1OCC(O)C(O)C(O)CCC(C)C2CCC3(C)C2CCC4(C)C3CCC5C6(C)CCCC(C)(C)C6CCC54C","","N/A","5.51","4.79","5.35","4.95","5.15"
"15","C_MTUBMTPWQGVXCG-UDDZTRNDSA-N","O=C([C@@H](CCC(N)=O)NC1=O)NCC(N2[C@@H](CCC2)C(N3[C@@H](CCC3)C(N[C@H]([C@@H](C)CC)C(N[C@@H](CO)C(N/C(C(N[C@@H]([C@@H](C)O)C(N[C@H](CCC4=CC=CC=C4)C(N5[C@@H](CCC5)C(NC(CC(OC([C@H](CC(C)C)N(C)C(C)=O)=O)CC(O)CC6=CC=CC=C6)C1O)=O)=O)=O)=O)=C/C)=O)=O)=O)=O)=O","O=C1NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(CC(OC(=O)C(N(C(=O)C)C)CC(C)C)CC(O)CC=3C=CC=CC3)C(O)C(=O)NC(C(=O)NCC(=O)N4CCCC4C(=O)N5CCCC5C(=O)NC(C(=O)NC(C(=O)NC1=CC)CO)C(C)CC)CCC(=O)N)CCC=6C=CC=CC6)C(O)C","","N/A","N/A","N/A","N/A","4.31","N/A"
"16","C_ODQWSGPULNHBGL-MCIOLPHXSA-N","O=C([C@@H](CCC(N)=O)NC1=O)NCC(N2[C@@H](CCC2)C(N3[C@@H](CCC3)C(N[C@H]([C@@H](C)CC)C(N[C@@H](CO)C(N/C(C(N[C@@H]([C@@H](C)O)C(N[C@H](CCC4=CC=C(OC)C=C4)C(N5[C@@H](CCC5)C(NC(CC(OC([C@H](CC(C)C)N(C)C(C)=O)=O)CC(O)CC6=CC=CC=C6)C1O)=O)=O)=O)=O)=C/C)=O)=O)=O)=O)=O","O=C1NC(C(=O)NC(C(=O)N2CCCC2C(=O)NC(CC(OC(=O)C(N(C(=O)C)C)CC(C)C)CC(O)CC=3C=CC=CC3)C(O)C(=O)NC(C(=O)NCC(=O)N4CCCC4C(=O)N5CCCC5C(=O)NC(C(=O)NC(C(=O)NC1=CC)CO)C(C)CC)CCC(=O)N)CCC6=CC=C(OC)C=C6)C(O)C","","N/A","N/A","N/A","N/A","4.31","N/A"
"17","C_QONBOMKYCJJCSL-WLKXNXGUSA-N","CCC([C@H]1C(N[C@@H]([C@@H](O)C)C(N[C@H](C(C)C)C(N[C@@H](C(C)C)C(N[C@@H](C(C)C)C(N[C@H](CC2=CC=CC=C2)C(N[C@@H](C(C)C)C(N/C(C(N[C@@H](CCCNC(N)=N)C(N[C@@H](CC3=CC=C(O)C=C3)C(N[C@@H](CCSC)C(N[C@@H](C(C)C)C(N[C@H]([C@H](O)C)C(N1)=O)=O)=O)=O)=O)=O)=C\C)=O)=O)=O)=O)=O)=O)=O)C","O=C1NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC1=CC)C(C)C)CC=2C=CC=CC2)C(C)C)C(C)C)C(C)C)C(O)C)C(C)CC)C(O)C)C(C)C)CCSC)CC3=CC=C(O)C=C3)CCCNC(=N)N","","N/A","N/A","N/A","N/A","4.11","N/A"
"18","24123-14-6","OC(CNCCN)=O","O=C(O)CNCCN","","N/A","3.59","2.35","3.21","2.30","2.86"
"19","C_OXQJFBVEKRZTDE-JTQLQIEISA-N","OC[C@@](O)(CC1=O)CC(NCCS(=O)(O)=O)=C1OC","O=C1C(OC)=C(NCCS(=O)(=O)O)CC(O)(CO)C1","","N/A","N/A","N/A","N/A","N/A","N/A"
"20","C_HEUSSFSVKKVAFQ-UODGXBKSSA-N","O[C@@H]1[C@@H](O)[C@H](O)[C@@H](CN)O[C@H]1OC[C@H](O)[C@H](O)[C@H](O)CC[C@H](C)[C@H]2C3CC[C@@]4(C)[C@]5(C)CCC6C(C)(C)CCC[C@]6(C)C5CCC4[C@@]3(C)CC2","OC(COC1OC(CN)C(O)C(O)C1O)C(O)C(O)CCC(C)C2CCC3(C)C2CCC4(C)C3CCC5C6(C)CCCC(C)(C)C6CCC54C","","N/A","5.33","4.82","5.49","4.95","5.15"
"21","C_LZMVCENJBDTSPS-VFHZWBAFSA-N","CCCCCCCCCCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O","ClC(CCCCCC1=C(O)C=C(C=C1OC2OCC(O)C(O)C2O)CCCCCCCCCCCCC)CCCCCC","","N/A","6.64","6.28","5.40","5.68","6.00"
"22","C_OTVIJJKBILNRLT-WPQQXQCVSA-N","CCCCCCCCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O","ClC(CCCCCC1=C(O)C=C(C=C1OC2OCC(O)C(O)C2O)CCCCCCCCCCC)CCCCCC","","N/A","6.44","6.11","5.20","5.68","5.86"
"23","C_SNZCABRUTZVTFC-KJIMCQFPSA-N","CCCCCCCCCC(CCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O)Cl","ClC(CCCCCC1=C(O)C=C(C=C1OC2OCC(O)C(O)C2O)CCCCCC(Cl)CCCCCCCCC)CCCCCC","","N/A","6.96","6.71","5.70","5.68","6.26"
"24","C_IWIZOMWAHIZTOM-ZQWJTRQNSA-N","CCCCCCCCC(CCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O)Cl","ClC(CCCCCC1=C(O)C=C(C=C1OC2OCC(O)C(O)C2O)CCCCCC(Cl)CCCCCCCC)CCCCCC","","N/A","6.77","6.63","5.60","5.68","6.17"
"25","C_LWFZKXMCJDHBNJ-SLKDEOFASA-N","CCCCCCCC(CCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O)(Cl)Cl","ClC(CCCCCC1=C(O)C=C(C=C1OC2OCC(O)C(O)C2O)CCCCCC(Cl)(Cl)CCCCCCC)CCCCCC","","N/A","6.85","6.65","5.90","4.67","6.02"
"26","C_LJLORIMRLLORHA-LNSHLUEESA-N","CCCCCCC(CCCCCC1=CC(=C(C(=C1)O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCC(CCCCCC)Cl)O)Cl","ClC(CCCCCC1=CC(O)=C(C(OC2OCC(O)C(O)C2O)=C1)CCCCCC(Cl)CCCCCC)CCCCCC","","N/A","6.56","6.46","5.40","4.93","5.84"
"27","C_NYUHMGANIQYFOK-ANHKVXBOSA-N","CCCCCCC(CCCCCC1=C(C=C(C=C1O[C@H]2[C@@H]([C@H]([C@@H](CO2)O)O)O)CCCCCCC(CCCC)Cl)O)Cl","ClC(CCCC)CCCCCCC1=CC(O)=C(C(OC2OCC(O)C(O)C2O)=C1)CCCCCC(Cl)CCCCCC","","N/A","6.45","6.35","5.31","4.93","5.76"
"28","C_AGAUYSZNDYQXOM-WEVIMLSJSA-N","C[C@]12C(C(CCC2)(C)C)CC[C@@]3(C1CCC4[C@@]3(C)CCC5[C@]4(C)CC[C@@H]5[C@@H](CCC(C(C(O)CO[C@H]6[C@@](O)([C@H]([C@@H]([C@H]6N)O)O)CO)O)O)C)C","OCC1(O)C(O)C(O)C(N)C1OCC(O)C(O)C(O)CCC(C)C2CCC3(C)C2CCC4(C)C3CCC5C6(C)CCCC(C)(C)C6CCC54C","","N/A","5.51","4.79","5.35","4.95","5.15"
"29","C_PBPRFAHEEMSBKU-UHFFFAOYSA-N","O=C(CC(CC(NCCCN(C(C)=O)O)=O)(C(O)=O)O)NCCCN(C(CCCCCCCCCCC)=O)O","O=C(NCCCN(O)C(=O)C)CC(O)(C(=O)O)CC(=O)NCCCN(O)C(=O)CCCCCCCCCCC","","N/A","N/A","N/A","N/A","4.29","N/A"
"30","C_DCRDXSPHBGCFJE-UHFFFAOYSA-N","O=C(CC(CC(NCCCN(C(C)=O)O)=O)(C(O)=O)O)NCCCN(C(CCCCCCCCC)=O)O","O=C(NCCCN(O)C(=O)C)CC(O)(C(=O)O)CC(=O)NCCCN(O)C(=O)CCCCCCCCC","","N/A","N/A","N/A","N/A","4.29","N/A"
"31","C_LPWDCGVTZOZWBF-UHFFFAOYSA-N","O=C(CC(CC(NCCCN(C(C)=O)O)=O)(C(O)=O)O)NCCCN(C(CCCCCCC)=O)O","O=C(NCCCN(O)C(=O)C)CC(O)(C(=O)O)CC(=O)NCCCN(O)C(=O)CCCCCCC","","N/A","N/A","N/A","N/A","4.29","N/A"
"32","C_BFYXFUUHZKWAJW-TUOVYMBRSA-N","CC1=C(C=CC(=C1C)C(=O)O)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C2=C(C(=C(C=C2)C(=O)O)C)C)\C)\C)/C)/C","O=C(O)C1=CC=C(C=CC(=CC=CC(=CC=CC=C(C=CC=C(C=CC2=CC=C(C(=O)O)C(=C2C)C)C)C)C)C)C(=C1C)C","","N/A","8.99","9.93","N/A","N/A","9.46"
"33","C_FFQPDMLQLMDNCB-OOYZWKPBSA-N","Cl/C=C(C)/C=C/C(/C=C\C=C\CCC1CC(OC)=CC(O1)=O)C","O=C1OC(CC(OC)=C1)CCC=CC=CC(C=CC(=CCl)C)C","","N/A","5.32","5.36","N/A","N/A","5.34"
"34","C_STGNMXQTWDOGSE-FUVSMVGWSA-N","CCC[C@@H](C)[C@@H]([C@H](C)[C@H]([C@@H](C)[C@H](CC1=NC(=CS1)C2=N[C@@](CS2)(C)C3=N[C@@](CS3)(C)C(=O)N[C@@H]([C@@H](C)CC)[C@H]([C@@H](C)C(=O)OCC)O)OC)O)O","O=C(OCC)C(C)C(O)C(NC(=O)C1(N=C(SC1)C2(N=C(SC2)C=3N=C(SC3)CC(OC)C(C)C(O)C(C)C(O)C(C)CCC)C)C)C(C)CC","","N/A","5.77","5.63","N/A","3.89","5.10"
"35","C_VOWNHWSVEUWZQX-SLMJHOPOSA-N","C/C(C/C=C\C=C\C(N[C@H](/C=C\CC/C=C/Cl)C)=O)=C\Cl","O=C(C=CC=CCC(=CCl)C)NC(C=CCCC=CCl)C","","N/A","4.97","5.19","N/A","N/A","5.08"
"36","C_VOWNHWSVEUWZQX-RWZASHGDSA-N","C/C(C/C=C\C=C\C(N[C@H](/C=C/CC/C=C/Cl)C)=O)=C\Cl","O=C(C=CC=CCC(=CCl)C)NC(C=CCCC=CCl)C","","N/A","4.97","5.19","N/A","N/A","5.08"
"37","C_VOWNHWSVEUWZQX-HUVZLFSQSA-N","C/C(C/C=C/C=C/C(N[C@H](/C=C\CC/C=C/Cl)C)=O)=C\Cl","O=C(C=CC=CCC(=CCl)C)NC(C=CCCC=CCl)C","","N/A","4.97","5.19","N/A","N/A","5.08"
"38","C_MOHXYZAMHAZRDC-GXVZJEIESA-N","C/C(C)=C\C(NCC[C@@H](C)/C=C/C[C@H](/C=C/C=C\Cl)C)=O","O=C(C=C(C)C)NCCC(C=CCC(C=CC=CCl)C)C","","N/A","5.27","5.58","N/A","N/A","5.42"
"39","C_JKBXTXMXBDJJQA-SJHSMXDOSA-N","C[C@@H](C(N[C@@H](CCC(N)=O)C(NCC(N[C@@H](C(C)C)C(N[C@@H](CO)C(N[C@@H](CC(C=C1)=CC=C1OC/C=C(C)/C)C(N[C@H](C(N2CCC[C@H]2C3=O)=O)CC4=CC=CC=C4)=O)=O)=O)=O)=O)=O)N3[H]","[H]N1C(=O)C2N(C(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C(NC(=O)C1C)CCC(=O)N)C(C)C)CO)CC3=CC=C(OCC=C(C)C)C=C3)CC=4C=CC=CC4)CCC2","","N/A","4.40","4.35","N/A","4.11","4.29"
"40","C_VSODJBVPHOOTEU-OBYLJCASSA-N","CC1(C)CCC[C@]2(C)[C@]1([H])CC[C@@]3(C)[C@@]2([H])CC[C@]4(C)[C@]3([H])CC5=C(O)C(O)=CC(C(O)=O)=C54","[H]C12CC=3C(O)=C(O)C=C(C(=O)O)C3C2(C)CCC4([H])C5(C)CCCC(C)(C)C5([H])CCC14C","","N/A","6.85","6.06","6.12","5.07","6.02"
"41","C_ANTLVDCACHPFMI-FHUWYTBFSA-N","CC1(C)CCC[C@]2(C)[C@]1([H])CC[C@@]([C@@]3([H])CC4=C(O)C(O)=CC(C(O)=O)=C4)(C)[C@@]2([H])CCC3=C","[H]C1(C(=C)CCC2([H])C1(C)CCC3([H])C(C)(C)CCCC32C)CC4=CC(=CC(O)=C4O)C(=O)O","","N/A","6.70","6.35","7.26","5.02","6.33"
"42","C_SXWRGDXAWWEUSK-HZRZAHPNSA-N","C[C@]1(COC)CCC[C@]2(C(OC)=O)[C@]1([H])[C@H](Cl)[C@H](O)[C@@](C3=CC4=C(OCO5)C5=CC(Cl)=C4[C@@]36C)(C)[C@@]2(O)CC6=O","[H]C12C(Cl)C(O)C3(C4=CC=5C=6OCOC6C=C(Cl)C5C4(C(=O)CC3(O)C2(C(=O)OC)CCCC1(C)COC)C)C","","N/A","6.06","6.00","5.56","5.61","5.81"
"43","C_HBFUMXRTGQYCEA-SCJHGSEDSA-N","C[C@]1(COC)[C@@H](Cl)CC[C@]23[C@]1([H])[C@@H](OC3=O)[C@H](O)[C@@]4(C)[C@@]2(O)C[C@@H](O)[C@]5(C)C4=CC6=C(OCO7)C7=CC(Cl)=C65","[H]C12C3OC(=O)C2(CCC(Cl)C1(C)COC)C4(O)CC(O)C5(C=6C(Cl)=CC=7OCOC7C6C=C5C4(C)C3O)C","","N/A","5.85","5.24","5.11","4.76","5.24"
"44","C_MPDWJOZIRGXLFW-SCJHGSEDSA-N","C[C@]1(COC)[C@@H](Cl)CC[C@]23[C@]1([H])[C@@H](OC3=O)[C@H](O)[C@@]4(C)[C@@]2(O)C[C@@H](O)[C@]5(C)C4=CC6=C(Cl)C(OCO7)=C7C=C65","[H]C12C3OC(=O)C2(CCC(Cl)C1(C)COC)C4(O)CC(O)C5(C=6C=C7OCOC7=C(Cl)C6C=C5C4(C)C3O)C","","N/A","5.93","5.32","5.11","4.76","5.28"
"45","C_FCWJVJDRWPHMRT-QLYLPIRJSA-N","OC1C(OC(C(C1O)OC[C@]2(O)CC(NC(CO)C(O)=O)=C(C(C2)=N)OC)CO)O","O=C(O)C(NC1=C(OC)C(=N)CC(O)(COC2C(O)C(O)C(O)OC2CO)C1)CO","","N/A","N/A","N/A","N/A","3.39","N/A"
"46","C_CTLCCIQRVCMBEJ-CBTCKCDPSA-N","OC[C@]1(O)CC(NCC(OC2C(OC(C(C2O)O)O)CO)=O)=C(C(C1)=NC(CO)C(O)=O)OC","O=C(O)C(N=C1C(OC)=C(NCC(=O)OC2C(O)C(O)C(O)OC2CO)CC(O)(CO)C1)CO","","N/A","2.85","1.62","N/A","4.26","2.91"
"47","C_MXJFACMBSIQIJG-RAVCUMSJSA-N","O=C(N[C@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@H](C(N([C@@H](C(N[C@@H](C(N[C@H](C(N1CCC[C@H]1C(N[C@@H]2CC(C)C)=O)=O)[C@@H](O)C)=O)C(C(N)=O)O)=O)[C@@H](CC)C)C)=O)CCC(N)=O)=O)CC(C)C)=O)C)=O)C(C(C)C)O)=O)C(C)C)CC(CCCCC)NC([C@@H](NC2=O)[C@H](O)C)=O","O=C(N)CCC1NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CC(NC(=O)C(NC(=O)C(NC(=O)C2N(C(=O)C(NC(=O)C(NC(=O)C(N(C1=O)C)C(C)CC)C(O)C(=O)N)C(O)C)CCC2)CC(C)C)C(O)C)CCCCC)C(C)C)C(O)C(C)C)C)CC(C)C","","N/A","N/A","N/A","N/A","4.11","N/A"
"48","C_OIXICRGCRLGQCN-OBKLPJIUSA-N","O=C(N[C@H](C(N[C@@H](C(N[C@@H](C(N[C@@H](C(N[C@H](C(N([C@@H](C(N[C@@H](C(N[C@H](C(N1CCC[C@H]1C(N[C@@H]2CC(C)C)=O)=O)[C@@H](O)C)=O)C(C(N)=O)O)=O)[C@@H](CC)C)C)=O)CCC(N)=O)=O)C(C(C)C)O)=O)C)=O)C(C(C)C)O)=O)C(C)C)CC(CCCCC)NC([C@@H](NC2=O)[C@H](O)C)=O","O=C(N)CCC1NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)CC(NC(=O)C(NC(=O)C(NC(=O)C2N(C(=O)C(NC(=O)C(NC(=O)C(N(C1=O)C)C(C)CC)C(O)C(=O)N)C(O)C)CCC2)CC(C)C)C(O)C)CCCCC)C(C)C)C(O)C(C)C)C)C(O)C(C)C","","N/A","N/A","N/A","N/A","4.11","N/A"
"49","C_FXNSTMGRWLTKFF-YKUYVWFBSA-N","O=C(N[C@@H](C(N/C(C1=O)=C/C)=O)CCC(N)=O)CC(CCCCC)NC(CNC([C@H](NC([C@H]([C@@H](CC)C)NC([C@@H](NC([C@H](NC([C@@H](CC2=CC=CC=C2)NC([C@H](NC([C@H]3N1C[C@@H](C3)O)=O)CCO)=O)=O)CC(C)C)=O)[C@H](C)CC)=O)=O)CC(C)C)=O)=O","O=C(N)CCC1NC(=O)CC(NC(=O)CNC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C2N(C(=O)C(=CC)NC1=O)CC(O)C2)CCO)CC=3C=CC=CC3)CC(C)C)C(C)CC)C(C)CC)CC(C)C)CCCCC","","N/A","N/A","N/A","N/A","4.28","N/A"
"50","C_DQCGSCJFICXWFZ-QHDYGNBISA-N","N=C1C[C@](CO)(CC(NC(CO)C(O)=O)=C1OC)O","O=C(O)C(NC1=C(OC)C(=N)CC(O)(CO)C1)CO","","N/A","N/A","N/A","N/A","N/A","N/A"
"51","C_KEOLGCFLKHISHR-NFSIXUBXSA-N","CCCC(N[C@@H](C(NC(C(N[C@@H]1[C@@H](C)OC([C@@H](C(C)C)NC([C@H](CC2=CC(Cl)=C(O)C=C2)N(C)C([C@H]([C@H](O)C)N3[C@@H](O)CC[C@H](NC([C@H](CC(C)C)NC1=O)=O)C3=O)=O)=O)=O)=O)C(OC([C@@H](NC(CCC)=O)C)=O)C)=O)C)=O","O=C(OC(C)C(NC(=O)C(NC(=O)CCC)C)C(=O)NC1C(=O)NC(C(=O)NC2C(=O)N(C(O)CC2)C(C(=O)N(C)C(C(=O)NC(C(=O)OC1C)C(C)C)CC3=CC=C(O)C(Cl)=C3)C(O)C)CC(C)C)C(NC(=O)CCC)C","","N/A","4.56","4.30","N/A","4.11","4.32"
"52","C_MWUJXBWFBABTFB-RERDJVLRSA-N","CC[C@H]([C@H](NC)C(N[C@H](C(N1CCC[C@H]1C(N[C@@H](C)C(N[C@@H](CC(C)C)C(N[C@@H](CC(C)C)C(N[C@@H](C)C(N[C@H](C(N[C@@H](CC(C)C)C(N[C@H](C(N)=O)C(C)C)=O)=O)CO)=O)=O)=O)=O)=O)=O)CO)=O)C","O=C(N)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C(NC(=O)C1N(C(=O)C(NC(=O)C(NC)C(C)CC)CO)CCC1)C)CC(C)C)CC(C)C)C)CO)CC(C)C)C(C)C","","N/A","3.17","3.03","N/A","4.11","3.43"
"53","C_TZSKHHZFSLGYTL-TZKGVKHNSA-N","CC[C@@H]([C@H](O)C(N[C@H](C(N[C@@H]1[C@@H](C)OC([C@@H](C(C)C)NC([C@H](CC2=CC=C(O)C=C2)N(C)C([C@H](CC3=CC=C(OC)C=C3)N4[C@H](O)CC[C@H](NC([C@H](CC5=CC=CC=C5)NC1=O)=O)C4=O)=O)=O)=O)=O)CCC(O)=O)=O)C","O=C(O)CCC(NC(=O)C(O)C(C)CC)C(=O)NC1C(=O)NC(C(=O)NC2C(=O)N(C(O)CC2)C(C(=O)N(C)C(C(=O)NC(C(=O)OC1C)C(C)C)CC3=CC=C(O)C=C3)CC4=CC=C(OC)C=C4)CC=5C=CC=CC5","","N/A","4.69","4.99","N/A","4.11","4.60"
"54","C_IZUSQHCHSMJXLV-DEGMBRQQSA-N","C[C@H]1OC([C@H](NC([C@@H](N(C([C@H](N2C([C@H](CC[C@@H]2O)NC([C@@H](NC([C@@H]1NC([C@H](NC([C@H](NC(CCC)=O)C)=O)[C@@H](C)O)=O)=O)CC(C)C)=O)=O)[C@@H](C)O)=O)C)CC(C=C3)=CC(Cl)=C3O)=O)C(C)C)=O","O=C1OC(C)C(NC(=O)C(NC(=O)C(NC(=O)CCC)C)C(O)C)C(=O)NC(C(=O)NC2C(=O)N(C(O)CC2)C(C(=O)N(C)C(C(=O)NC1C(C)C)CC3=CC=C(O)C(Cl)=C3)C(O)C)CC(C)C","","N/A","4.11","3.49","N/A","4.11","3.90"
"55","C_MWOUSUQNUHRYLP-LTPNNWFFSA-N","C[C@@H](\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CCCNC(N)=O)NC(=O)C[C@@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(=O)O)C(=O)O)[C@H](Cc1ccccc1)OC","O=C(N)NCCCC1NC(=O)CC(NC(=O)C(NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC(=O)C(C)C(C=CC(=CC(C)C(OC)CC=2C=CC=CC2)C)NC1=O)C(=O)O)C)C)CCCNC(=N)N)C(=O)O","","N/A","2.46","3.58","N/A","4.11","3.38"
"56","C_AHXOFCOHTAKFKX-KAXOOBBASA-N","C[C@@H](\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CCCNC(=N)N)NC(=O)C[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(=O)O)C(=O)O)[C@H](Cc1ccccc1)OC","O=C(O)CCC1NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC(=O)C(C)C(C=CC(=CC(C)C(OC)CC=2C=CC=CC2)C)NC(=O)C(NC(=O)CC(NC1=O)C(=O)O)CCCNC(=N)N)C(=O)O)C)C","","N/A","3.50","3.50","N/A","4.11","3.70"
"57","C_RRMMYXRMUVPVRF-NSKJAONYSA-N","C[C@@H](\C=C(/C)\C=C\[C@@H]1NC(=O)[C@H](CCC(=O)O)NC(=O)C[C@@H](NC(=O)[C@H](CCC(=O)O)NC(=O)[C@@H](C)NC(=O)C(=C)N(C)C(=O)CC[C@@H](NC(=O)[C@H]1C)C(=O)O)C(=O)O)[C@H](Cc1ccccc1)OC","O=C(O)CCC1NC(=O)CC(NC(=O)C(NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC(=O)C(C)C(C=CC(=CC(C)C(OC)CC=2C=CC=CC2)C)NC1=O)C(=O)O)C)C)CCC(=O)O)C(=O)O","","N/A","3.57","3.57","N/A","4.11","3.75"
"58","C_PXEOFGCLNPSOIR-AJXKSCHMSA-N","O=C(N(C1([H])CSC[C@@H](C(NCC(O)=O)=O)NC(CC[C@H](N)C(O)=O)=O)C)CC[C@H](C(O)=O)NC([C@@H](C)[C@H](/C=C/C(C)=C/[C@H](C)[C@@H](OC)CC2=CC=CC=C2)NC([C@H](CCCNC(N)=N)NC(C[C@H](C(O)=O)NC([C@@H](NC([C@@H](C)NC1=O)=O)CCCNC(N)=N)=O)=O)=O)=O","[H]C1(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)O)CC(=O)NC(C(=O)NC(C=CC(=CC(C)C(OC)CC=2C=CC=CC2)C)C(C(=O)NC(C(=O)O)CCC(=O)N1C)C)CCCNC(=N)N)CCCNC(=N)N)C)CSCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O","","N/A","N/A","N/A","N/A","4.11","N/A"
"59","C_XWXSIKQZRUZBPD-DUJZQNBCSA-N","O=C(N(C)C(C(N[C@@H](C1=O)C)=O)=C)CC[C@H](C(O)=O)NC([C@@H](C)[C@H](/C=C/C(C)=C/[C@H](C)[C@@H](OC)CC2=CC=CC=C2)NC([C@H](CC3=CNC4=C3C=CC=C4)NC(C[C@H](C(O)=O)NC([C@@H](N1)CCCNC(N)=N)=O)=O)=O)=O","O=C(O)C1NC(=O)C(NC(=O)C(NC(=O)C(=C)N(C(=O)CCC(NC(=O)C(C)C(C=CC(=CC(C)C(OC)CC=2C=CC=CC2)C)NC(=O)C(NC(=O)C1)CC3=CNC=4C=CC=CC43)C(=O)O)C)C)CCCNC(=N)N","","N/A","3.97","4.92","N/A","4.11","4.34"
"60","C_GSQBGCSYZANQGB-OBWIRWOGSA-N","OC(C[C@@H](C(N[C@H]1CC2=CC=CC=C2)=O)NC([C@H](CC(C)C)NC(CNC([C@H]3CCCN3C([C@H](CC4=CC=CC=C4)NC([C@H](NC1=O)CCCNC(NC/C=C(C)/C)=N)=O)=O)=O)=O)=O)=O","O=C(O)CC1NC(=O)C(NC(=O)CNC(=O)C2N(C(=O)C(NC(=O)C(NC(=O)C(NC1=O)CC=3C=CC=CC3)CCCNC(=N)NCC=C(C)C)CC=4C=CC=CC4)CCC2)CC(C)C","","N/A","4.16","4.26","N/A","4.29","4.24"
