"","Strain","max","min","mean","median","count"
"274","[Planktothrix sp.]Max06",0.153046062407132,0.0803303303303305,0.123555942407444,0.126930187003794,6
"275","AB2011/53 (isolated from Hartbeespoort Dam)",0.153036313701557,0.153036313701557,0.153036313701557,0.153036313701557,1
"276","[Microcystis aeruginosa]SEAGL14",0.152333431171119,0.152333431171119,0.152333431171119,0.152333431171119,1
"277","AB2017/15",0.151264933239635,0.0877386196769455,0.114659452431909,0.110198721599899,6
"278","[Anabaena sp.]66A",0.150242326332795,0.085820895522388,0.122400628229287,0.126769645530983,4
"279","[Nostoc sp.]152",0.149846048580226,0.0797852647167715,0.125264810399542,0.131551362683438,11
"280","[Nostoc sp.]IO-102-I",0.149086623453152,0.117435158501441,0.133260890977297,0.133260890977297,2
"281","NIES-595",0.148471615720524,0.143170926517572,0.145821271119048,0.145821271119048,2
"282","AB2011/53 and AQUAMEB-24",0.148333824830434,0.148333824830434,0.148333824830434,0.148333824830434,1
"283","36.91 SAG",0.145619013834693,0.145619013834693,0.145619013834693,0.145619013834693,1
"284","[Microcystis aeruginosa]CAAT 2005-3",0.144736842105263,0.144736842105263,0.144736842105263,0.144736842105263,1
"285","AQUAMEB-24",0.14435655613021,0.137987545067191,0.1411720505987,0.1411720505987,2
"286","[Microcystis aeruginosa]CALU 972",0.143335565974548,0.143335565974548,0.143335565974548,0.143335565974548,1
"287","[Oscillatoria/Planktothrix rubescens]CBT 310",0.141243811881188,0.141243811881188,0.141243811881188,0.141243811881188,1
"288","MIRS-04",0.140837104072398,0.140837104072398,0.140837104072398,0.140837104072398,1
"289","[Planktothrix sp.]Max13",0.13975249019016,0.13975249019016,0.13975249019016,0.13975249019016,1
"290","[Oscillatoria/Planktothrix agardhii]CCAP 1459/14",0.139397905759162,0.139397905759162,0.139397905759162,0.139397905759162,1
"291","bloom",0.139397905759162,0.133857005450465,0.136627455604814,0.136627455604814,2
"292","[Microcystis aeruginosa]MK10.10",0.138234259584946,0.138234259584946,0.138234259584946,0.138234259584946,1
"293","[Oscillatoria/Planktothrix agardhii]PH-123",0.138167711131006,0.138167711131006,0.138167711131006,0.138167711131006,1
"294","RST9501",0.137743076016499,0.137743076016499,0.137743076016499,0.137743076016499,1
"295","[Microcystis aeruginosa]98",0.137192035099561,0.137192035099561,0.137192035099561,0.137192035099561,1
"296","[Phormidium sp.]CENA270",0.136450686243217,0.12569649295313,0.131073589598174,0.131073589598174,2
"297","[Oscillatoria tenuis]E6",0.135631001371742,0.135631001371742,0.135631001371742,0.135631001371742,1
"298","UTCC507",0.135378459486496,0.135378459486496,0.135378459486496,0.135378459486496,1
"299","[Microcystis sp.]NPLJ-4",0.135200777202073,0.135200777202073,0.135200777202073,0.135200777202073,1
"300","CYA 83/1",0.13397212543554,0.10931899641577,0.121645560925655,0.121645560925655,2
"301","[Anabaena sp.]202 A1",0.133934535738143,0.101247248716067,0.117590892227105,0.117590892227105,2
"302","[Anabaena sp.]202 A2",0.133934535738143,0.101247248716067,0.117590892227105,0.117590892227105,2
"303","[Microcystis aeruginosa]WR 70",0.131323283082077,0.131323283082077,0.131323283082077,0.131323283082077,1
"304","CCAP 1459/11A",0.129274395329441,0.115087040618956,0.122180717974198,0.122180717974198,2
"305","TAU IL-89-2",0.125340381226974,0.125340381226974,0.125340381226974,0.125340381226974,1
"306","[Microcystis aeruginosa]NPLJ-4",0.12418636519356,0.101090014064697,0.109209635782715,0.102352528089887,3
"307","173",0.122801082543978,0.122801082543978,0.122801082543978,0.122801082543978,1
"308","208",0.122801082543978,0.122801082543978,0.122801082543978,0.122801082543978,1
"309","[Microcystis aeruginosa]205",0.122040389972145,0.122040389972145,0.122040389972145,0.122040389972145,1
"310","RST 9501",0.120718887758562,0.120718887758562,0.120718887758562,0.120718887758562,1
"311","[Microcystis sp.]RST9501",0.119443501866304,0.114110010249402,0.116776756057853,0.116776756057853,2
"312","NIVA-CYA 548",0.118882275132275,0.118882275132275,0.118882275132275,0.118882275132275,1
"313","[Microcystis aeruginosa]M.TN-2",0.116451612903226,0.116451612903226,0.116451612903226,0.116451612903226,1
"314","[Microcystis aeruginosa]NIES CRM No. 26",0.112290311537145,0.074074074074074,0.0931821928056095,0.0931821928056095,2
"315","[Dolicospermum sp.]NIVA-CYA 656",0.10941475826972,0.10941475826972,0.10941475826972,0.10941475826972,1
"316","[Nostoc sp.]UK8911A",0.101090014064697,0.101090014064697,0.101090014064697,0.101090014064697,1
"317","SAG 36.91",0.099198717948718,0.095766940286496,0.097482829117607,0.097482829117607,2
"318","NIES-101",0.0949529512403765,0.0949529512403765,0.0949529512403765,0.0949529512403765,1
"319","[Oscillatoria agardhii]NIES 610",0.0934397163120565,0.0934397163120565,0.0934397163120565,0.0934397163120565,1
"320","[Oscillatoria/Planktothrix agardhii]CYA-29",0.089889640441438,0.089889640441438,0.089889640441438,0.089889640441438,1
"321","18",0.084319699988281,0.084319699988281,0.084319699988281,0.084319699988281,1
"322","2",0.084319699988281,0.084319699988281,0.084319699988281,0.084319699988281,1
"323","[Anabaena flos-aquae]S-23-g-1",0.081020255063766,0.081020255063766,0.081020255063766,0.081020255063766,1
"324","[Dolichospermum sp.]90",0.0803303303303305,0.0803303303303305,0.0803303303303305,0.0803303303303305,1
"325","[Oscillatoria agardhii]CCAP 1459/14",0.0757749712973595,0.0757749712973595,0.0757749712973595,0.0757749712973595,1
"326","[Microcystis aeruginosa]K-139",0.064847077042199,0.064847077042199,0.064847077042199,0.064847077042199,1
